C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 3.00                 0.82                1.30	 5.00                 0.54                1.67	 3.33                 1.67                1.56	TcIL3000.A.H_000005000.1  Retrotransposon hot spot protein, putative
 7.33                 1.00                0.57	 4.33                 1.08                0.72	 6.33                 0.88                1.29	TcIL3000.A.H_000005100.1  C-5 sterol desaturase, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000005200.1  hypothetical protein, conserved
 4.67                 1.85                0.91	14.00                 0.90                0.77	 7.00                 1.23                1.56	TcIL3000.A.H_000005300.1  Retrotransposon hot spot protein, putative
 8.33                 1.08                1.30	 9.00                 0.96                0.89	 8.33                 0.76                1.81	TcIL3000.A.H_000005400.1  Adenylate and Guanylate cyclase catalytic domain containing protein, putative
 3.67                 0.50                0.24	 1.33                 0.46                0.91	 2.67                 1.11                1.44	TcIL3000.A.H_000005500.1  hypothetical protein, conserved
 3.33                 1.42                1.40	 7.33                 1.75                0.94	 4.33                 0.50                5.17	TcIL3000.A.H_000005600.1  hypothetical protein, conserved
 2.33                 0.91                1.00	 2.67                 1.18                0.56	 4.00                 0.85                0.85	TcIL3000.A.H_000005700.1  hypothetical protein, conserved
 0.67                 3.59                1.36	 7.00                 1.58                1.18	 2.67                 1.54                1.56	TcIL3000.A.H_000005800.1  retrotransposon hot spot (RHS) protein, putative
 7.00                 1.08                1.76	 6.67                 0.86                0.77	 7.67                 1.28                1.38	TcIL3000.A.H_000005900.1  Retrotransposon hot spot protein, putative
 6.00                 0.93                1.07	 6.33                 1.23                0.97	11.33                 0.66                3.00	TcIL3000.A.H_000006000.1  expression site-associated gene 2 (ESAG2) protein, putative
 4.33                 1.67                0.47	 4.00                 1.00                1.14	 4.00                 0.76                1.00	TcIL3000.A.H_000006100.1  Adenylate and Guanylate cyclase catalytic domain containing protein, putative
 0.67                 3.19                3.00	 0.00                 1.80                2.20	 1.00                 0.33                1.43	TcIL3000.A.H_000006200.1  hypothetical protein, conserved
 0.67                 0.47                1.58	 2.00                 0.50                0.56	 1.67                 1.00                1.58	TcIL3000.A.H_000006300.1  protein kinase, putative
